cohort,variant,baseline,seed,split,ER20_delta,F20_delta,LE_CD_delta,LR_CD_delta,SELD_LR_delta
historical_Multi-ACCDOA_causal,C3_lambda005,C0,2026,validation,-0.005673335323977291,0.0023517787198674145,-0.8510795114541985,0.0018827211909434594,-0.0036590136857166944
historical_Multi-ACCDOA_causal,C3_lambda005,C0,2027,evaluation,0.006254188072369882,-0.006467689635773433,-0.9003542333760848,-0.03379029270100031,0.01037755061148582
historical_Multi-ACCDOA_causal,C3_lambda005,C0,2027,validation,-0.007763511495968878,0.002281688192707576,-0.7353458044313328,-0.011842734552136469,-0.0005719299014006474
historical_Multi-ACCDOA_causal,C3_lambda005,C0,2028,evaluation,-0.00014890923981836224,-0.0009301797426491953,-0.8475652986123219,-0.02639087395794404,0.005615862089343282
historical_Multi-ACCDOA_causal,C3_lambda005,C0,2028,validation,0.005076142131979711,-0.0021823399787987974,-0.11776878496415222,-0.018941015776700154,0.006386306714974921
historical_Multi-ACCDOA_noncausal,A3_lambda005,A0,2026,evaluation,0.0375251284342194,-0.031334633862366346,-0.021245574328071726,-0.05033382036167533,0.02976888792244292
historical_Multi-ACCDOA_noncausal,A3_lambda005,A0,2026,validation,0.03150194087787406,-0.028962865802841686,0.505445411474648,-0.0273972602739726,0.02266752425460905
historical_Multi-ACCDOA_noncausal,A3_lambda005,A0,2027,evaluation,0.011168192986374725,-0.007550619189780061,-0.0576039344230157,-0.01298514533434536,0.007845983913148613
historical_Multi-ACCDOA_noncausal,A3_lambda005,A0,2027,validation,0.0037324574499850716,0.004108560078985857,-0.14802488978414807,-0.006402355008718663,0.0013009729702292416
historical_Multi-ACCDOA_noncausal,A3_lambda005,A0,2028,evaluation,0.009604645968282366,-0.013186637597129791,-0.03527134128427356,-0.020726222148395923,0.01083038845444606
historical_Multi-ACCDOA_noncausal,A3_lambda005,A0,2028,validation,0.004926843833980232,0.0030112821097878495,-0.3301663556922261,-0.017100001543537635,0.004295326434026636
