family,context,variant,weight,split,profile,n,seeds,ER20_mean,ER20_sample_sd,F20_mean,F20_sample_sd,LE_CD_mean,LE_CD_sample_sd,LF_CD_mean,LF_CD_sample_sd,SELD_LF_mean,SELD_LF_sample_sd,LR_CD_mean,LR_CD_sample_sd,SELD_LR_mean,SELD_LR_sample_sd
EINV2,causal,C2,0.2,validation,dcase2020_source,3,"2026,2027,2028",0.6002332775495715,0.02379984109779893,0.5549452115165671,0.023922692147743094,15.468951798309527,1.8335474704800971,0.6592327332242875,0.0046204172411292875,0.3679984884776091,0.014805333164537398,,,,
EINV2,causal,C2,0.2,validation,dcase2020_web_lr,3,"2026,2027,2028",0.6002332775495715,0.02379984109779893,0.5549452115165671,0.023922692147743094,15.468951798309527,1.8335474704800971,,,,,0.6892844464729448,0.004835804204773615,0.36048556016544475,0.014526086665368318
EINV2,causal,C2,0.2,validation,dcase2023_macro,3,"2026,2027,2028",0.659002687369364,0.023207602846556173,0.5269215933365349,0.017672480024720348,14.242493008864429,1.6861347804036857,,,,,0.6585998452447962,0.009488113282815604,0.38815155248709776,0.008958770931620619
EINV2,causal,C2,0.2,validation,dcase2023_micro,3,"2026,2027,2028",0.659002687369364,0.023207602846556173,0.5373169330872316,0.021714794755124528,15.513935488638907,1.826774649550813,,,,,0.6798405026707577,0.00520407748742072,0.3820084455259532,0.01344406409634865
EINV2,causal,C3,0.2,evaluation,dcase2020_source,3,"2026,2027,2028",0.6010166148243684,0.00865779224714829,0.5875590928601412,0.006480271298109905,13.117318970469759,0.2273869024809095,0.6601130115263268,0.003991028590348577,0.35655462617957195,0.0035109820901422983,,,,
EINV2,causal,C3,0.2,evaluation,dcase2020_web_lr,3,"2026,2027,2028",0.6010166148243684,0.00865779224714829,0.5875590928601412,0.006480271298109905,13.117318970469759,0.2273869024809095,,,,,0.7087474394962446,0.012196159735205186,0.34439601918709256,0.004522849876873666
EINV2,causal,C3,0.2,evaluation,dcase2023_macro,3,"2026,2027,2028",0.6507581962127417,0.01879582265231071,0.5712392223324526,0.006244671676319213,12.003666716412551,0.42391039658512825,,,,,0.6793017367902178,0.013258215905663928,0.36672606860086854,0.003136739439935223
EINV2,causal,C3,0.2,evaluation,dcase2023_micro,3,"2026,2027,2028",0.6507581962127417,0.01879582265231071,0.5744143855909427,0.008205348900727633,13.065626013860738,0.24510814735368616,,,,,0.7029994390126353,0.012880310285540033,0.36148279569931974,0.006196860230506321
EINV2,causal,C3,0.2,validation,dcase2020_source,3,"2026,2027,2028",0.5846645367412141,0.00528992504205501,0.5849753520329843,0.011099193029201829,12.935589436477615,1.0722785507279513,0.6619585504301698,0.004386622106559742,0.35239875500906725,0.006207087129395069,,,,
EINV2,causal,C3,0.2,validation,dcase2020_web_lr,3,"2026,2027,2028",0.5846645367412141,0.00528992504205501,0.5849753520329843,0.011099193029201829,12.935589436477615,1.0722785507279513,,,,,0.7016582991023885,0.010530511170346717,0.34247381784101255,0.007864109431961634
